fam;a4;a5
id-116;0,29;-0,35
id-117;0,2;-0,3
id-118;0,07;-0,4
id-119;0,24;-0,05
id-120;0,2;-0,25
id-121;0,2;-0,3
id-122;-0,07;-0,4
id-123;0,11;-0,3
id-124;0,16;-0,3
id-125;0,56;-0,15
id-126;0,29;-0,25
id-127;0,2;-0,25
id-128;0,07;-0,4
id-129;0,2;-0,3
id-130;0,16;-0,3
id-131;0,29;-0,3
id-132;0,02;-0,4
id-133;0,16;-0,35
id-134;0,2;-0,45
id-135;0,16;-0,3
id-136;0,38;-0,25
id-137;0,29;-0,2
id-138;0,33;-0,25
id-139;0,24;-0,3
id-140;0,07;-0,4
id-141;0,11;-0,35
id-142;0,2;-0,25
id-143;0,11;-0,25
id-144;0,29;-0,2
id-145;0,11;-0,35
id-146;0,24;-0,3
id-147;0,16;-0,3
id-148;0,11;-0,4
id-149;0,16;-0,3
id-150;0,11;-0,2
id-151;0,02;-0,35
id-152;0,24;-0,3
id-153;0,29;-0,35
id-154;0,24;-0,25
id-155;0,24;-0,35
id-156;0,2;-0,25
id-157;0,2;-0,4
id-158;0,16;-0,5
id-159;0,38;-0,25
id-160;0,07;-0,3
id-161;0,33;-0,3
id-162;0,24;-0,3
id-163;0,2;-0,25
id-164;0,2;-0,3
id-165;0,11;-0,25
id-166;0,16;-0,35
id-167;0,07;-0,35
id-168;0,11;-0,35
id-169;0,07;-0,3
id-170;0,2;-0,3
id-171;0,11;-0,4
id-172;0,42;-0,1
id-173;0,16;-0,25
id-174;0,16;-0,35
id-175;0,24;-0,28
id-176;-0,07;-0,4
id-177;0,11;-0,35
id-178;0,2;-0,35
id-179;0,24;-0,3
id-180;0,56;-0,1
id-181;0,24;-0,3
id-182;0,42;-0,2
id-183;0,11;-0,3
id-184;0,2;-0,45
id-185;0,29;-0,35
id-186;0,2;-0,25
id-187;0,16;-0,25
id-188;0,24;-0,25
id-189;0,24;-0,3
id-190;0,2;-0,35
id-191;0,24;-0,2
id-192;0,16;-0,2
id-193;0,11;-0,35
id-194;0,16;-0,35
id-195;0,2;-0,4
id-196;0,24;-0,25
id-197;0,16;-0,35
id-198;0,11;-0,3
id-199;0,24;-0,43
id-200;0,11;-0,2
id-201;0,24;-0,25
id-202;0,24;-0,3
id-203;-0,42;-0,55
id-204;-0,02;-0,35
id-205;0,2;-0,35
id-206;0,24;-0,25
id-207;0,24;-0,25
id-208;0,16;-0,2
id-209;0,24;-0,25
id-210;0,2;-0,25
id-211;0,29;-0,3
id-212;0,16;-0,5
id-213;0,2;-0,3
id-214;0,11;-0,3
id-215;0,16;-0,3
id-216;0,24;-0,35
id-217;0,24;-0,25
id-218;0,2;-0,35
id-219;-0,69;-0,6
id-220;0,11;-0,35
id-221;0,24;-0,3
id-222;0,07;-0,35
id-223;0,2;-0,3
id-224;0,11;-0,3
id-225;0,29;-0,25
id-226;0,11;-0,35
id-227;0,29;-0,3
id-228;0,16;-0,3
id-229;0,56;-0,15
id-230;0,38;-0,2
id-231;0,11;-0,35
id-232;0,24;-0,25
id-233;0,11;-0,3
id-234;0,29;-0,3
id-235;0,2;-0,35
id-236;0,16;-0,3
id-237;0,07;-0,4
id-238;0,07;-0,43
id-239;0,07;-0,35
id-240;0,38;-0,1
id-241;0,2;-0,25
id-242;0,11;-0,3
id-243;0,38;-0,2
id-244;0,24;-0,18
id-245;0,2;-0,35
id-246;0,42;-0,15
id-247;0,2;-0,25
id-248;0,29;-0,2
id-249;0,24;-0,35
id-250;0,11;-0,3
id-251;0,16;-0,45
id-252;0,11;-0,3
id-253;0,16;-0,35
id-254;0,16;-0,45
id-255;0,38;-0,25
id-256;0,2;-0,05
id-257;0,16;-0,3
id-258;0,2;-0,25
id-259;0,38;-0,3
id-260;0,33;-0,25
id-261;0,11;-0,4
id-262;0,33;-0,2
id-263;0,2;-0,3
id-264;0,33;-0,2
id-265;0,29;-0,15
id-266;0,2;-0,3
id-267;0,33;-0,2
id-268;0,11;-0,3
id-269;0,2;-0,3
id-270;0,24;-0,4
id-271;0,24;-0,3
id-272;-0,02;-0,5
id-273;0,2;-0,4
id-274;0,47;-0,1
id-275;0,24;-0,25
id-276;0,11;-0,25
id-277;0,2;-0,3
id-278;0,33;-0,3
id-279;0,2;-0,25
id-280;0,02;-0,4
id-281;0,07;-0,35
id-282;0,24;-0,25
id-283;0,38;-0,25
id-284;0,24;-0,15
id-285;0,11;-0,35
id-286;0,16;-0,45
id-287;0,11;-0,4
id-288;0,16;-0,4
id-289;0,11;-0,35
id-290;0,16;-0,3
id-291;0,16;-0,4
id-292;-0,38;-0,55
id-293;-0,02;-0,35
id-294;0,29;-0,15
id-295;0,24;-0,25
id-296;0,16;-0,25
id-297;0,2;-0,3
id-298;0,02;-0,4
id-299;0,2;-0,3
id-300;0,07;-0,3
id-301;0,24;-0,3
id-302;0,24;-0,25
id-303;0,24;-0,3
id-304;0,2;-0,35
id-305;0,2;-0,2
id-306;0,24;-0,35
id-307;0,16;-0,23
id-308;0,29;-0,25
id-309;0,38;-0,2
id-310;0,29;-0,25
id-311;0,24;-0,25
id-312;0,24;-0,25
id-313;0,11;-0,35
id-314;0,33;-0,3
id-315;0,11;-0,35
id-316;0,07;-0,4
id-317;-0,02;-0,35
id-318;0,02;-0,5
id-319;0,29;-0,18
id-320;0,29;-0,15
id-321;0,2;-0,35
id-322;0,07;-0,25
id-323;0,16;-0,3
id-324;0,11;-0,4
id-325;0,29;-0,2
id-326;0,33;-0,2
id-327;0,16;-0,3
id-328;0,11;-0,3
id-329;0,11;-0,45
id-330;0,11;-0,3
id-331;0,24;-0,25
id-332;-0,02;-0,3
id-333;0,11;-0,3
id-334;0,29;-0,25
id-335;0,29;-0,25
id-336;0,42;-0,2
id-337;0,2;-0,4
id-338;0,11;-0,35
id-339;0,11;-0,35
id-340;0,24;-0,25
id-341;0,2;-0,18
id-342;0,16;-0,3
id-343;0,16;-0,25
id-344;0,24;-0,35
id-345;0,24;-0,3
id-346;0,07;-0,45
id-347;0,33;-0,35
id-348;0,2;-0,25
id-349;0,2;-0,25
id-350;0,02;-0,35
id-351;0,38;-0,1
id-352;0,33;-0,25
id-353;0,2;-0,25
id-354;0,11;-0,35
id-355;0,11;-0,4
id-356;0,07;-0,35
id-357;0,29;-0,3
id-358;0,2;-0,3
id-359;0,02;-0,35
id-360;0,11;-0,3
id-361;0,02;-0,4
id-362;0,11;-0,35
id-363;0,07;-0,4
id-364;0,11;-0,25
id-365;0,16;-0,35
id-366;0,16;-0,35
id-367;0,29;-0,28
id-368;0,24;-0,2
id-369;0,2;-0,28
id-370;0,11;-0,35
id-371;0,11;-0,35
id-372;0,24;-0,2
id-373;0,07;-0,4
id-374;0,29;-0,3
id-375;0,24;-0,15
id-376;0,11;-0,4
id-377;0,16;-0,3
id-378;0,11;-0,3
id-379;0,24;-0,2
id-380;0,07;-0,35
id-381;0,2;-0,3
id-382;0,2;-0,25
id-383;0,2;-0,15
id-384;0,07;-0,45
id-385;0,24;-0,3
id-386;0,07;-0,3
id-387;0,16;-0,3
id-388;0,24;-0,25
id-389;0,16;-0,3
id-390;0,29;-0,25
id-391;0,24;-0,25
id-392;0,29;-0,25
id-393;0,29;-0,3
id-394;0,2;-0,25
id-395;0,24;-0,3
id-396;0,02;-0,55
id-397;0,33;-0,25
id-398;0,2;-0,3
id-399;0,24;-0,25
id-400;0,2;-0,25
id-401;0,2;-0,3
id-402;0,33;-0,25
id-403;0,2;-0,25
id-404;0,16;-0,35
id-405;0,2;-0,25
id-406;0,2;-0,4
id-407;0,2;-0,3
id-408;0,29;-0,3
id-409;0,11;-0,35
id-410;0,2;-0,15
id-411;0,33;-0,4
id-412;0,24;-0,2
id-413;0,11;-0,25
id-414;0,33;-0,2
id-415;0,11;-0,35
id-416;-0,56;0,7
id-417;0,16;-0,35
id-418;0,11;-0,35
id-419;0,2;-0,3
id-420;0,16;-0,3
id-421;-0,02;-0,3
id-422;0,02;-0,25
id-423;0,11;-0,35
id-424;0,29;-0,4
id-425;0,16;-0,3
id-426;0,16;-0,4
id-427;0,33;-0,2
id-428;0,2;-0,25
id-429;0,11;-0,4
id-430;0,29;-0,35
id-431;0,16;-0,35
id-432;0,33;-0,2
id-433;0,11;-0,4
id-434;0,56;-0,15
id-435;0,07;-0,4
id-436;0,2;-0,3
id-437;0,11;-0,3
id-438;0,2;-0,2
id-439;0,07;-0,25
id-440;0,11;-0,4
id-441;0,16;-0,3
id-442;0,24;-0,3
id-443;0,29;-0,2
id-444;0,11;-0,45
id-445;0,11;-0,35
id-446;0,07;-0,3
id-447;0,2;-0,3
id-448;0,29;-0,2
id-449;0,16;-0,15
id-450;0,11;-0,25
id-451;0,2;-0,2
id-452;-0,02;-0,45
id-453;0,2;-0,25
id-454;0,33;-0,3
id-455;0,11;-0,25
id-456;0,07;-0,35
id-457;0,11;-0,3
id-458;0,29;-0,18
id-459;0,33;-0,3
id-460;0,2;-0,3
id-461;0,11;-0,3
id-462;0,29;-0,35
id-463;0,33;-0,25
id-464;0,11;-0,3
id-465;0,07;-0,35
id-466;0,11;-0,35
id-467;0,24;-0,25
id-468;0,2;-0,3
id-469;0,24;-0,25
id-470;0,33;-0,2
id-471;0,2;-0,35
id-472;0,29;-0,3
id-473;0,16;-0,3
id-474;0,29;-0,25
id-475;0,11;-0,3
id-476;0,11;-0,35
id-477;0,24;-0,3
id-478;0,16;-0,35
id-479;0,11;-0,35
id-480;0,2;-0,2
id-481;0,38;-0,3
id-482;0,2;-0,3
id-483;0,02;-0,35
id-484;0,2;-0,35
id-485;0,2;-0,25
id-486;-0,07;-0,5
id-487;0,29;-0,3
id-488;0,29;-0,25
id-489;0,11;-0,35
id-490;0,38;-0,4
id-491;0,2;-0,35
id-492;0,11;-0,2
id-493;0,33;-0,2
id-494;0,2;-0,25
id-495;0,16;-0,35
id-496;0,38;-0,3
id-497;0,16;-0,3
id-498;0,07;-0,45
id-499;0,2;-0,3
id-500;0,2;-0,2
id-501;0,11;-0,35
id-502;0,24;-0,3
id-503;0,29;-0,2
id-504;0,2;-0,3
id-505;0,24;-0,35
id-506;0,29;0,2
id-507;0,07;-0,4
id-508;0,16;-0,3
id-509;0,24;-0,25
id-510;0,07;-0,25
id-511;-0,02;-0,4
id-512;0,16;-0,3
id-513;0,16;-0,4
id-514;0,29;-0,25
id-515;0,2;-0,3
id-516;0,24;-0,3
id-517;0,38;-0,1
id-518;0,02;-0,45
id-519;0,11;-0,35
id-520;0,2;-0,3
id-521;0,11;-0,25
id-522;0,2;-0,4
id-523;0,38;-0,2
id-524;0,24;-0,3
id-525;-0,07;-0,45
id-526;0,38;-0,35
id-527;0,11;-0,3
id-528;0,16;-0,35
id-529;0,11;-0,35
id-530;0,07;-0,4
id-531;0,29;-0,25
id-532;0,2;-0,35
id-533;0,16;-0,3
id-534;0,11;-0,3
id-535;0,2;-0,05
id-536;0,29;-0,15
id-537;-0,07;-0,35
id-538;0,24;-0,2
id-539;0,2;-0,3
id-540;-0,56;-0,03
id-541;0,11;-0,3
id-542;0,24;-0,25
id-543;0,16;-0,3
id-544;0,07;-0,25
id-545;0,2;-0,3
id-546;0,29;-0,2
id-547;0,16;-0,35
id-548;-0,02;-0,4
id-549;0,24;-0,25
id-550;0,29;-0,25
id-551;0,11;-0,35
id-552;0,11;-0,3
id-553;0,16;-0,35
id-554;0,16;-0,35
id-555;0,16;-0,35
id-556;0,2;-0,25
id-557;0,29;-0,15
id-558;0,42;-0,3
id-559;0,11;-0,3
id-560;0,02;-0,3
id-561;0,29;-0,3
id-562;0,11;-0,5
id-563;0,2;-0,3
id-564;0,16;-0,25
id-565;0,02;-0,3
id-566;0,29;-0,3
id-567;0,07;-0,3
id-568;0,2;-0,25
id-569;0,24;-0,3
id-570;0,11;-0,4
id-571;0,07;-0,4
id-572;0,2;-0,35
id-573;0,16;-0,35
id-574;0,2;-0,3
id-575;0,24;-0,3
id-576;0,38;-0,25
id-577;-0,02;-0,55
id-578;0,16;-0,25
id-579;0,16;-0,35
id-580;0,16;-0,25
id-581;0,11;-0,45
id-582;0,11;-0,35
id-583;0,16;-0,3
id-584;0,24;-0,25
id-585;0,16;-0,35
id-586;0,29;-0,25
id-587;0,11;-0,35
id-588;0,29;-0,2
id-589;0,11;-0,35
id-590;0,29;-0,25
id-591;0,11;-0,3
id-592;0,2;-0,3
id-593;0,29;-0,3
id-594;0,2;-0,3
id-595;0,11;-0,3
id-596;0,16;-0,3
id-597;0,24;-0,3
id-598;0,16;-0,38
id-599;0,11;-0,3
id-600;0,2;-0,3
id-601;0,07;-0,4
id-602;0,11;-0,25
id-603;0,38;-0,25
id-604;0,24;-0,3
id-605;0,11;-0,3
id-606;0,24;-0,25
id-607;0,16;-0,4
id-608;0,02;-0,4
id-609;0,11;-0,25
id-610;0,42;-0,15
id-611;0,29;-0,25
id-612;0,11;-0,25
id-613;0,24;-0,1
id-614;0,2;-0,3
id-615;0,2;-0,25
id-616;0,29;-0,25
id-617;0,11;-0,35
id-618;0,11;-0,3
id-619;0,11;-0,4
id-620;0,11;-0,3
id-621;0,33;-0,1
id-622;0,33;-0,2
id-623;0,29;-0,2
id-624;0,24;-0,25
id-625;0,16;-0,35
id-626;0,16;-0,35
id-627;0,2;-0,3
id-628;0,16;-0,4
id-629;0,11;-0,3
id-630;0,07;-0,4
id-631;0,16;-0,25
id-632;0,16;-0,2
id-633;0,29;-0,2
id-634;0,11;-0,35
id-635;0,33;-0,2
id-636;0,29;-0,25
id-637;0,24;-0,3
id-638;0,16;-0,25
id-639;0,11;-0,35
id-640;0,11;-0,35
id-641;0,24;-0,1
id-642;0,2;-0,35
id-643;0,24;-0,25
id-644;0,11;-0,33
id-645;0,2;-0,25
id-646;0,29;-0,25
id-647;0,07;-0,4
id-648;0,2;-0,25
id-649;0,24;-0,4
id-650;0,29;-0,25
id-651;0,56;-0,15
id-652;0,07;-0,4
id-653;0,07;-0,35
id-654;0,24;-0,25
id-655;0,29;-0,25
id-656;0,24;-0,2
id-657;0,38;-0,35
id-658;0,11;-0,3
id-659;0,11;-0,4
id-660;0,2;-0,3
id-661;0,2;-0,2
id-662;0,11;-0,25
id-663;0,24;-0,2
id-664;0,2;-0,3
id-665;0,2;-0,3
id-666;0,33;-0,15
id-667;0,11;-0,4
id-668;0,29;-0,25
id-669;0,11;-0,35
id-670;0,24;-0,3
id-671;0,51;-0,2
id-672;0,11;-0,25
id-673;0,16;-0,3
id-674;0,11;-0,3
id-675;0,2;-0,15
id-676;0,11;-0,3
id-677;0,29;-0,3
id-678;0,2;-0,18
id-679;0,29;-0,25
id-680;0,11;-0,3
id-681;0,11;-0,3
id-682;0,2;-0,35
id-683;0,16;-0,2
id-684;0,38;-0,35
id-685;0,24;-0,2
id-686;0,24;-0,2
id-687;0,2;-0,3
id-688;0,29;-0,1
id-689;0,24;-0,3
id-690;0,24;-0,25
id-691;0,24;-0,2
id-692;0,07;-0,45
id-693;0,16;-0,35
id-694;0,24;-0,35
id-695;0,24;-0,25
id-696;0,29;-0,15
id-697;0,11;-0,25
id-698;0,33;-0,25
id-699;0,16;-0,4
id-700;-0,02;-0,5
id-701;0,07;-0,35
id-702;0,33;-0,25
id-703;0,24;-0,35
id-704;0,29;-0,25
id-705;0,11;-0,45
id-706;0,33;-0,25
id-707;0,07;-0,35
id-708;0,24;-0,3
id-709;-0,07;-0,4
id-710;0,2;-0,35
id-711;0,16;-0,35
id-712;0,29;-0,25
id-713;0,11;-0,35
id-714;0,16;-0,35
id-715;0,11;-0,25
id-716;0,16;-0,25
id-717;0,38;-0,35
id-718;0,47;-0,25
id-719;0,2;-0,4
id-720;0,16;-0,35
id-721;0,16;-0,3
id-722;0,16;-0,3
id-723;0,33;-0,25
id-724;0,16;-0,35
id-725;0,11;-0,25
id-726;0,11;-0,4
id-727;0,2;-0,3
id-728;0,2;-0,3
id-729;0,07;-0,35
id-730;0,33;-0,2
id-731;0,29;-0,45
id-732;0,24;-0,3
id-733;0,2;-0,3
id-734;0,16;-0,45
id-735;0,24;-0,3
id-736;0,11;-0,3
id-737;0,11;-0,3
id-738;0,07;-0,3
id-739;0,2;-0,4
id-740;0,11;-0,35
id-741;0,24;-0,2
id-742;0,33;-0,35
id-743;0,24;-0,2
id-744;0,2;-0,4
id-745;0,11;-0,4
id-746;0,38;-0,15
id-747;0,24;-0,3
id-748;0,16;-0,35
id-749;0,07;-0,4
id-750;0,24;-0,25
id-751;0,16;-0,3
id-752;0,11;-0,2
id-753;0,2;-0,25
id-754;0,16;-0,3
id-755;0,11;-0,35
id-756;0,2;-0,3
id-757;0,11;-0,25
id-758;0,2;-0,35
id-759;0,33;-0,25
id-760;0,29;-0,25
id-761;0,24;-0,33
id-762;0,11;-0,28
id-763;0,11;-0,3
id-764;0,2;-0,3
id-765;0,24;-0,3
id-766;0,24;-0,3
id-767;0,29;-0,3
id-768;0,11;-0,1
id-769;0,29;-0,25
id-770;0,24;-0,3
id-771;0,16;-0,4
id-772;0,2;-0,25
id-773;0,16;-0,35
id-774;0,11;-0,35
id-775;0,02;-0,4
id-776;0,2;-0,25
id-777;0,2;-0,4
id-778;0,24;-0,35
id-779;0,47;-0,3
id-780;0,24;-0,25
id-781;0,29;-0,25
id-782;0,2;-0,3
id-783;0,24;-0,25
id-784;0,16;-0,4
id-785;0,07;-0,35
id-786;0,29;-0,15
id-787;0,11;-0,35
id-788;0,29;-0,15
id-789;0,24;-0,25
id-790;0,11;-0,35
id-791;0,11;-0,45
id-792;0,11;-0,35
id-793;0,24;-0,25
id-794;0,11;-0,25
id-795;0,2;-0,25
id-796;0,38;-0,23
id-797;0,2;-0,35
id-798;0,24;-0,25
id-799;0,29;-0,3
id-800;0,2;-0,23
id-801;0,16;-0,35
id-802;0,11;-0,35
id-803;0,16;-0,35
id-804;0,2;-0,25
id-805;0,16;-0,35
id-806;0,47;-0,35
id-807;0,16;-0,4
id-808;0,11;-0,4
id-809;0,38;-0,18
id-810;0,24;-0,3
id-811;0,38;-0,2
id-812;0,51;-0,2
id-813;0,33;-0,35
id-814;0,24;-0,2
id-815;0,11;-0,3
id-816;0,07;-0,4
id-817;0,11;-0,3
id-818;0,29;-0,25
id-819;0,38;-0,3
id-820;0,16;-0,3
id-821;0,16;-0,3
id-822;0,16;-0,25
id-823;0,16;-0,3
id-824;0,2;-0,35
id-825;-0,11;-0,45
id-826;0,16;-0,2
id-827;0,02;-0,5
id-828;0,11;-0,15
id-829;0,2;-0,3
id-830;0,24;-0,25
id-831;0,02;-0,4
id-832;-0,02;-0,25
id-833;0,2;-0,3
id-834;0,24;-0,35
id-835;0,2;-0,15
id-836;0,24;-0,25
id-837;0,24;-0,2
id-838;0,33;-0,2
id-839;0,38;-0,2
id-840;0,16;-0,3
id-841;0,11;-0,3
id-842;0,11;-0,35
id-843;0,16;-0,25
id-844;0,16;-0,3
id-845;0,11;-0,25
id-846;0,16;-0,3
id-847;0,24;-0,3
id-848;0,24;-0,25
id-849;0,24;-0,35
id-850;0,29;-0,25
id-851;0,29;-0,2
id-852;0,29;-0,2
id-853;0,11;-0,35
id-854;0,11;-0,3
id-855;0,24;-0,25
id-856;0,2;-0,3
id-857;0,11;-0,5
id-858;0,16;-0,35
id-859;0,11;-0,2
id-860;0,16;-0,35
id-861;0,33;-0,2
id-862;0,2;-0,25
id-863;0,24;-0,25
id-864;0,29;-0,3
id-865;0,16;-0,35
id-866;0,2;-0,4
id-867;0,24;-0,15
id-868;0,33;-0,2
id-869;0,24;-0,3
id-870;0,24;-0,15
id-871;0,33;-0,2
id-872;0,24;-0,35
id-873;0,33;-0,3
id-874;-0,02;-0,4
id-875;0,24;-0,3
id-876;0,16;-0,35
id-877;0,2;-0,35
id-878;0,07;-0,35
id-879;0,29;-0,25
id-880;0,16;-0,35
id-881;0,16;-0,25
id-882;0,16;-0,3
id-883;0,2;-0,25
id-884;0,33;-0,2
id-885;0,2;-0,35
id-886;0,2;-0,4
id-887;0,02;-0,25
id-888;0,11;-0,3
id-889;0,16;-0,3
id-890;0,24;-0,3
id-891;0,11;-0,35
id-892;0,2;-0,3
id-893;0,11;-0,4
id-894;0,2;-0,3
id-895;0,24;-0,25
id-896;0,16;-0,4
id-897;0,29;-0,25
id-898;0,11;-0,35
id-899;0,11;-0,23
id-900;0,2;-0,2
id-901;0,2;-0,3
id-902;0,2;-0,35
id-903;0,29;-0,3
id-904;0,42;-0,15
id-905;0,33;-0,25
id-906;0,24;-0,2
id-907;0,11;-0,3
id-908;0,29;-0,3
id-909;0,11;-0,3
id-910;0,07;-0,4
id-911;0,24;-0,25
id-912;0,38;-0,1
id-913;0,51;-0,15
id-914;0,2;-0,3
id-915;0,2;-0,25
id-916;0,29;-0,25
id-917;0,33;-0,35
id-918;0,11;-0,45
id-919;0,11;-0,2
id-920;0,07;-0,3
id-921;-0,02;-0,4
id-922;0,11;-0,35
id-923;0,33;-0,3
id-924;0,11;-0,35
id-925;0,16;-0,4
id-926;0,2;-0,25
id-927;-0,24;-0,5
id-928;0,33;-0,3
id-929;0,11;-0,25
id-930;0,11;-0,3
id-931;0,24;-0,3
id-932;-0,07;-0,4
id-933;0,2;-0,35
id-934;0,33;-0,2
id-935;0,11;-0,25
id-936;0,2;-0,4
id-937;0,16;-0,2
id-938;0,2;-0,3
id-939;0,24;-0,25
id-940;0,07;-0,4
id-941;0,29;-0,25
id-942;0,56;-0,25
id-943;0,11;-0,3
id-944;0,24;-0,2
id-945;0,11;-0,35
id-946;0,29;-0,35
id-947;0,24;-0,15
id-948;0,2;-0,25
id-949;0,29;-0,15
id-950;0,29;-0,35
id-951;0,16;-0,3
id-952;0,24;-0,3
id-953;0,42;-0,25
id-954;0,2;-0,2
id-955;0,24;-0,25
id-956;0,2;-0,25
id-957;0,11;-0,35
id-958;0,42;-0,1
id-959;0,16;-0,4
id-960;0,33;-0,3
id-961;0,11;-0,4
id-962;0,16;-0,33
id-963;0,16;-0,25
id-964;0,2;-0,4
id-965;0,24;-0,3
id-966;0,07;-0,35
id-967;0,07;-0,35
id-968;0,29;-0,2
id-969;0,16;-0,3
id-970;0,2;-0,35
id-971;0,11;-0,28
id-972;0,2;-0,3
id-973;0,2;-0,3
id-974;0,38;-0,25
id-975;0,11;-0,13
id-976;0,33;-0,45
id-977;0,2;-0,3
id-978;0,42;-0,1
id-979;0,11;-0,35
id-980;0,16;-0,35
id-981;0,33;-0,2
id-982;0,16;-0,35
id-983;0,11;-0,35
id-984;0,33;-0,2
id-985;0,24;-0,2
id-986;0,29;-0,3
id-987;0,16;-0,35
id-988;0,16;-0,35
id-989;0,24;-0,25
id-990;0,29;-0,18
id-991;0,11;-0,2
id-992;0,29;-0,25
id-993;0,24;-0,35
id-994;0,02;-0,3
id-995;0,38;-0,35
id-996;-0,07;-0,5
id-997;0,33;-0,23
id-998;0,24;-0,25
id-999;0,07;-0,4
id-1000;0,11;-0,4
id-1001;0,24;-0,3
id-1002;0,38;-0,25
id-1003;0,2;-0,25
id-1004;0,2;-0,3
id-1005;0,24;-0,3
id-1006;0,24;-0,45
id-1007;0,07;-0,45
id-1008;0,2;-0,4
id-1009;0,24;-0,2
id-1010;0,29;-0,25
id-1011;0,42;-0,3
id-1012;0,33;-0,2
id-1013;0,33;-0,3
id-1014;0,02;-0,35
id-1015;0,2;-0,2
id-1016;0,2;-0,3
id-1017;0,2;-0,3
id-1018;0,24;-0,08
id-1019;0,07;-0,45
id-1020;0,07;-0,3
id-1021;0,29;-0,2
id-1022;0,11;-0,35
id-1023;0,24;-0,25
id-1024;0,29;-0,3
id-1025;0,16;-0,35
id-1026;0,2;-0,35
id-1027;0,29;-0,25
id-1028;0,24;-0,3
id-1029;0,16;-0,35
id-1030;0,16;-0,3
id-1031;0,16;-0,35
id-1032;0,2;-0,2
id-1033;0,11;-0,35
id-1034;0,47;-0,15
id-1035;0,16;-0,3
id-1036;0,16;-0,3
id-1037;0,07;-0,3
id-1038;0,24;-0,3
id-1039;0,33;-0,25
id-1040;0,29;-0,3
id-1041;0,11;-0,4
id-1042;0,38;-0,2
id-1043;0,16;-0,25
id-1044;0,2;-0,25
id-1045;0,16;-0,25
id-1046;0,02;-0,35
id-1047;0,29;-0,3
id-1048;0,24;-0,35
id-1049;0,16;-0,35
id-1050;0,11;-0,28
id-1051;0,11;-0,25
id-1052;0,07;-0,3
id-1053;0,11;-0,25
id-1054;0,24;-0,35
id-1055;0,29;-0,3
id-1056;0,29;-0,25
id-1057;0,2;-0,3
id-1058;0,24;-0,2
id-1059;0,11;-0,3
id-1060;0,11;-0,4
id-1061;0,2;-0,35
id-1062;0,38;0
id-1063;0,2;0
id-1064;0,07;-0,4
id-1065;0,11;-0,4
id-1066;0,24;-0,25
id-1067;0,02;-0,45
id-1068;0,11;-0,4
